t_index,CH1_ADC,CH2_ADC,CH3_ADC,CH4_ADC
188056,441,434,421,434
188056,480,474,460,474
188171,486,470,459,470
188171,390,386,378,386
188433,485,478,469,478
188437,390,388,371,388
188544,470,461,445,461
188548,390,383,373,383
188548,502,500,493,500
188587,484,473,462,473
188587,403,396,381,396
189707,416,410,402,410
189711,473,468,455,468
189822,434,428,417,428
189822,456,453,438,453
189933,467,452,445,452
189936,402,395,384,395
190055,455,448,437,448
190543,471,457,455,457
190547,428,427,416,427
191030,432,426,418,426
191034,459,447,442,447
191435,411,404,393,404
191439,446,442,430,442
191550,445,434,423,434
191554,382,369,356,369
191554,437,428,413,428
191894,381,373,363,373
191894,414,405,396,405
192156,455,447,434,447
192160,399,395,386,395
192660,432,428,414,428
193020,423,413,398,413
193025,417,409,393,409
193135,436,430,417,430
193139,372,367,352,367
193397,444,440,438,440
193401,384,373,357,373
193512,464,455,443,455
193774,511,504,497,504
193778,415,406,392,406
193885,448,447,438,447
193889,490,483,481,483
194003,476,468,457,468
194393,520,513,502,513
194397,464,457,446,457
194642,438,431,423,431
194642,531,528,514,528
194753,500,493,482,493
194753,475,470,457,470
194757,382,374,361,374
195015,468,461,449,461
195019,494,488,472,488
195019,385,369,358,369
195130,545,534,520,534
195130,501,497,489,497
195134,388,378,365,378
195245,552,543,532,543
195245,480,474,466,474
195257,389,385,373,385
195507,478,475,466,475
195507,542,534,519,534
195511,426,417,397,417
195634,496,480,466,480
195638,397,394,384,394
196031,460,454,445,454
196158,492,491,480,491
196158,424,417,401,417
196288,477,467,457,467
196288,447,444,435,444
196555,452,445,432,445
196682,453,440,429,440
196682,483,477,469,477
196808,460,454,447,454
196809,475,468,463,468
196838,490,485,473,485
196838,393,388,372,388
197219,386,382,367,382
197223,439,433,422,433
198271,396,386,373,386
198382,452,448,435,448
198386,420,412,399,412
198665,459,447,441,447
198665,451,445,429,445
198779,477,467,453,467
198783,370,365,350,365
198906,484,476,471,476
198906,475,467,457,467
198910,446,439,432,439
199430,454,443,424,443
199435,452,444,431,444
199586,448,449,436,449
199701,485,480,468,480
199955,446,439,432,439
199959,447,444,433,444
200364,375,369,358,369
200479,465,463,453,463
200483,481,476,464,476
200890,544,535,522,535
200890,477,470,458,470
200999,543,532,521,532
201003,510,506,494,506
201007,392,387,374,387
201126,484,478,464,478
201130,546,542,530,542
201130,437,425,415,425
201413,412,407,394,407
201417,403,394,382,394
201667,446,437,422,437
201671,386,378,364,378
202048,434,424,411,424
202052,533,525,516,525
202056,420,416,409,416
202461,423,410,403,410
202465,395,391,379,391
202465,505,499,489,499
202590,386,378,359,378
202590,488,480,467,480
202699,470,462,452,462
202703,407,404,394,404
204673,462,457,445,457
204673,498,491,481,491
204677,378,372,355,372
204800,400,399,386,399
204800,507,498,488,498
204924,487,484,470,484
204940,438,430,425,430
205193,414,411,400,411
205215,476,468,459,468
205325,466,458,445,458
205325,390,378,363,378
205447,455,448,439,448
205451,421,411,392,411
206946,424,419,410,419
206950,468,461,446,461
207020,445,435,427,435
207024,469,463,458,463
207294,480,475,466,475
207298,431,426,413,426
207421,404,397,380,397
207426,484,477,463,477
207430,388,374,359,374
207689,474,465,452,465
207689,433,425,417,425
207819,466,458,447,458
207823,447,442,424,442
207942,439,438,427,438
207946,467,459,449,459
208069,405,401,390,401
208073,376,366,352,366
208073,481,474,458,474
208343,464,462,449,462
208466,449,442,429,442
208470,466,461,450,461
208597,381,377,366,377
208597,489,478,467,478
208724,430,419,409,419
208990,458,449,434,449
208994,478,470,450,470
209117,398,391,375,391
209121,492,488,475,488
209121,392,386,373,386
209244,495,488,478,488
209248,435,423,409,423
209523,430,424,415,424
209523,486,480,471,480
209523,377,366,355,366
209642,498,493,477,493
209645,399,398,382,398
209785,433,420,409,420
209785,491,478,469,478
211618,431,426,412,426
211618,449,439,430,439
211738,417,405,391,405
211743,458,450,439,450
211865,469,458,445,458
211869,381,371,358,371
212298,460,455,452,455
212298,398,391,380,391
212390,467,458,442,458
212394,404,398,387,398
212660,408,399,387,399
213840,395,388,381,388
213840,410,398,387,398
213967,422,413,402,413
214089,446,442,425,442
214503,528,521,511,521
214507,457,451,437,451
214614,514,509,498,509
214618,467,458,447,458
214884,389,381,371,381
214888,526,520,512,520
214892,423,414,404,414
215539,480,471,457,471
215539,524,513,506,513
215662,487,477,470,477
215666,519,514,508,514
215666,512,513,499,513
215670,412,405,395,405
215818,491,480,472,480
215822,439,431,423,431
216060,457,449,434,449
216064,451,443,432,443
216186,405,396,389,396
216191,452,441,430,441
216461,450,445,431,445
216465,417,407,390,407
216584,392,384,375,384
216588,386,383,370,383
216727,405,392,379,392
217108,447,437,424,437
217112,492,484,479,484
217116,372,365,353,365
217116,407,399,384,399
217249,491,485,475,485
