signal_indices,signal_data
99254,427
99259,392
99381,404
99381,426
99508,434
101474,404
101495,451
101507,450
101511,381
101605,467
101605,473
101610,424
101728,447
101732,392
101757,409
101761,434
103576,411
103702,449
103703,364
103825,509
103829,457
104362,415
104366,397
104620,415
104747,499
104751,411
104874,498
104878,455
105006,499
105006,392
105271,494
105275,403
105398,477
105402,441
105525,429
105525,460
105795,497
105800,439
105935,474
105935,470
106049,370
106049,509
106054,404
106135,365
106135,369
106328,485
106328,478
106447,458
106447,524
106451,409
106475,518
106480,449
106574,492
106578,405
106971,477
106975,374
107622,500
107626,439
107626,364
107893,452
107897,488
107897,373
108020,497
108024,408
108146,473
108151,425
108417,432
108421,464
108544,472
108548,373
108671,467
108671,405
108941,422
109068,469
109072,370
109195,469
109195,395
109324,432
109592,467
109596,479
109600,418
109719,460
109719,399
109844,438
109846,442
109875,460
110117,464
110121,387
110244,464
110244,425
110366,447
110371,459
110383,384
110641,485
110645,432
110751,369
110768,477
110768,465
110880,404
110882,391
110891,458
110895,511
110899,392
111153,418
111177,483
111181,506
111186,387
111276,390
111288,468
111311,505
111311,385
111311,395
111403,384
111415,365
111419,515
111419,413
111431,434
111673,381
111689,496
111693,482
111693,363
111800,376
111812,477
111816,514
111820,398
111927,373
111943,524
111943,426
112214,430
112236,520
112236,417
112353,408
112468,506
112468,449
112480,400
112484,375
112608,401
112738,406
112738,503
112742,392
112865,498
112869,404
113001,469
113001,400
113262,407
113581,471
113581,430
113645,420
113910,445
113914,484
113918,367
114037,479
114059,375
114451,473
114454,392
114561,473
114565,403
114688,449
114692,414
114958,460
114958,406
115069,377
115069,479
115073,372
115446,449
115446,450
116203,448
116203,387
116310,431
116314,437
116572,436
116576,450
116687,461
116691,398
116806,375
117063,453
117068,365
117174,414
117178,450
117437,392
117440,446
117551,432
117555,418
117817,434
117817,422
119058,462
119062,408
119173,488
119173,397
119293,450
119293,453
120787,407
120791,392
120901,427
121163,471
121167,415
122408,391
122519,446
122523,450
122527,386
123011,426
123015,428
123664,420
123664,370
123760,390
123764,417
124032,403
124032,429
124142,414
124142,386
124252,393
124514,463
124518,398
124530,462
124530,425
124641,517
124645,439
125337,440
125337,459
125341,429
125394,495
125398,509
125398,388
125509,638
125509,591
125513,470
125738,438
125743,550
125747,441
125755,652
125759,573
125763,452
125854,625
125857,627
125857,507
125861,388
125865,617
125869,716
125873,601
125878,480
125878,363
125914,471
125915,465
125919,365
126153,713
126153,623
126263,570
126263,635
126263,517
126267,397
126365,594
126365,472
126369,376
126373,531
126377,502
126377,381
126480,397
126484,368
127012,594
127016,561
127020,441
127127,663
127131,588
127131,469
127377,511
127377,408
127471,365
127487,480
127487,471
127610,389
127610,392
127877,432
127880,402
127991,411
128241,465
128245,369
128614,365
128728,391
128857,452
129105,429
129218,441
129220,446
129491,489
129491,474
129494,366
129498,380
129580,407
129593,531
129597,445
129609,462
129613,405
129860,376
129860,511
129860,432
130346,470
130350,435
130444,393
130461,507
130461,423
130473,388
131227,368
131337,414
131341,375
131575,372
131604,469
131604,427
131685,369
131686,368
131698,396
131702,454
131948,373
131964,423
131964,489
131968,375
131980,439
132075,452
132079,418
132341,439
132341,415
132451,438
